CustomerID,Age,Gender,Geography,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Exited,Age_group,Churn Status
100036,61,Female,Australia,10,176697.63,1,1,0,53334.24,0,Middle Age,Retained
100037,42,Female,Australia,1,197601.87,1,0,0,23306.69,0,Adult,Retained
100038,66,Male,India,3,48434.73,2,0,1,111748.49,0,Senior,Retained
100039,44,Male,Canada,9,65438.22,3,0,0,198161.96,0,Adult,Retained
100040,76,Female,USA,4,128147.73,2,1,0,150227.94,0,Senior,Retained
100041,59,Male,UK,9,82650.2,3,0,1,72195.65,0,Middle Age,Retained
100042,45,Female,UK,3,215127.87,4,1,1,167168.91,0,Adult,Retained
100043,77,Female,India,1,118440.04,2,1,1,156106.96,0,Senior,Retained
100044,33,Male,USA,6,199894.66,1,0,1,63510.8,0,Adult,Retained
100045,32,Female,USA,9,145154.94,4,1,1,12718.42,1,Adult,Churned
100046,79,Female,India,9,193272.54,3,1,1,32450.9,0,Senior,Retained
100047,79,Male,USA,1,83168.25,2,1,0,176688.18,0,Senior,Retained
100048,64,Female,Canada,0,207854.16,3,1,0,168946.98,1,Middle Age,Churned
100049,79,Female,India,4,68643.08,3,0,0,66089.71,0,Senior,Retained
100050,68,Male,Canada,0,136524.7,2,0,0,64187.13,0,Senior,Retained
100051,61,Female,USA,0,53501.78,2,1,0,160644.35,0,Middle Age,Retained
100052,72,Male,India,0,118881.63,3,1,1,188170.12,0,Senior,Retained
100053,69,Female,USA,5,79543.8,3,1,1,158036.08,0,Senior,Retained
100054,74,Male,India,8,66675.86,4,1,0,125059.95,0,Senior,Retained
100055,20,Male,USA,9,241746.25,1,1,1,56107.56,0,Young,Retained
100056,54,Male,Canada,10,40018.53,3,0,0,109892.1,0,Middle Age,Retained
100057,68,Female,Canada,0,196831.46,1,0,1,54367.25,0,Senior,Retained
100058,24,Male,USA,4,246041.24,4,0,0,163522.17,0,Young,Retained
100059,38,Male,India,8,4975.37,1,0,0,83522.61,0,Adult,Retained
100060,26,Male,UK,8,174756.85,1,1,0,168402.47,0,Young,Retained
100061,56,Male,Canada,0,63227.95,4,1,1,82505.75,1,Middle Age,Churned
100062,35,Male,Canada,7,10121.96,3,0,1,166588.39,0,Adult,Retained
100063,21,Female,UK,0,100722.39,1,0,0,73330.38,1,Young,Churned
100064,42,Female,USA,7,233804.45,3,0,1,93625.21,1,Adult,Churned
100065,77,Female,India,0,2941.27,3,1,0,126942.8,0,Senior,Retained
100066,31,Female,USA,4,146971.42,2,1,0,23354.65,0,Adult,Retained
100067,67,Female,Australia,7,125349.12,3,1,1,190159.34,0,Senior,Retained
100068,75,Female,Canada,5,218346.04,3,0,0,118985.1,1,Senior,Churned
100069,26,Female,Australia,8,21000.43,1,0,0,106485.8,0,Young,Retained
100070,43,Male,Canada,0,170381.51,3,1,0,169484.85,0,Adult,Retained
100071,70,Female,Canada,8,170027.42,3,1,1,174494.92,0,Senior,Retained
100072,19,Male,Australia,0,167270,2,1,0,109229.48,0,Young,Retained
100073,37,Male,Australia,9,235583.62,2,0,0,186179.84,0,Adult,Retained
100074,45,Female,USA,9,205771.88,1,1,0,22300.18,1,Adult,Churned
100075,64,Male,Australia,2,10493.18,1,1,0,31512.9,0,Middle Age,Retained
100076,77,Male,USA,0,117770.71,2,0,1,123389.76,1,Senior,Churned
100077,24,Male,USA,2,99488.26,2,1,0,77272.51,0,Young,Retained
100078,61,Male,USA,10,77536.81,4,1,0,98202.78,0,Middle Age,Retained
100079,78,Female,Canada,1,112834.18,3,1,1,72335.05,0,Senior,Retained
100080,25,Female,Canada,1,96048.55,1,1,1,86897.81,0,Young,Retained
100081,64,Female,Australia,8,108083.47,1,0,1,166302.81,0,Middle Age,Retained
100082,52,Female,Canada,7,244815.47,3,1,1,122760.48,0,Middle Age,Retained
100083,31,Female,Australia,0,22158.24,3,0,1,199495.46,0,Adult,Retained
100084,34,Female,Canada,3,230557.72,1,1,1,159507.05,0,Adult,Retained
100085,53,Female,India,0,120059.18,2,0,0,61996.59,0,Middle Age,Retained
100086,67,Female,India,0,155935.56,2,1,0,60225.57,0,Senior,Retained
100087,57,Female,Australia,3,207545.74,3,1,1,73820.67,0,Middle Age,Retained
100088,21,Female,Canada,1,90115.76,1,0,0,170219.3,0,Young,Retained
100089,19,Male,Canada,2,107605.48,3,1,1,15184.65,0,Young,Retained
100090,79,Female,USA,10,102379.62,2,1,0,53734.44,0,Senior,Retained
100091,23,Male,UK,8,93682.76,4,0,1,181934.5,0,Young,Retained
100092,71,Male,Australia,1,231382.33,4,1,1,131580.32,0,Senior,Retained
100093,59,Male,UK,3,207232.47,2,1,0,53100.95,0,Middle Age,Retained
100094,21,Male,UK,0,27250,3,1,1,51637.54,0,Young,Retained
100095,71,Female,Australia,1,27030.84,4,1,0,173897.44,0,Senior,Retained
100096,46,Male,Canada,4,106967.38,2,1,1,179813.93,0,Adult,Retained
100097,35,Female,Australia,9,24664.34,1,0,1,58664.91,0,Adult,Retained
100098,43,Female,UK,0,154773.27,3,0,0,89896.97,0,Adult,Retained
100099,61,Male,Canada,10,35922.9,3,1,1,168573.19,0,Middle Age,Retained
100100,51,Female,India,6,130593.32,4,1,0,156491.41,0,Middle Age,Retained
100101,27,Male,Australia,3,1804.99,3,0,0,164644.06,0,Young,Retained
100102,79,Male,Australia,5,79149.09,4,0,0,108495.66,0,Senior,Retained
100103,53,Female,Canada,7,169297.68,4,0,0,183194.32,0,Middle Age,Retained
100104,31,Female,India,5,121009.74,2,0,0,71930.79,0,Adult,Retained
100105,48,Male,India,1,244567.37,4,0,1,39767.71,0,Adult,Retained
100106,65,Female,Canada,0,218525.95,1,0,1,144659.14,0,Senior,Retained
100107,32,Female,USA,7,89767.69,3,1,0,112477.34,0,Adult,Retained
100108,25,Female,Australia,7,11371.64,4,1,1,172371.3,0,Young,Retained
100109,31,Male,Australia,8,211406.58,3,1,0,25420.26,1,Adult,Churned
100110,40,Male,UK,5,227808.58,4,1,1,170301.56,1,Adult,Churned
100111,77,Female,Canada,0,205156.85,2,1,0,65725.98,0,Senior,Retained
100112,74,Female,UK,8,31987.49,1,0,1,134422.58,1,Senior,Churned
100113,79,Female,UK,2,249478.78,3,0,0,17624.47,0,Senior,Retained
100114,57,Female,India,10,64646.06,2,0,1,125820.45,0,Middle Age,Retained
100115,38,Female,Australia,5,181051.23,3,0,0,146281.62,0,Adult,Retained
100116,33,Male,UK,9,227008.72,2,0,0,80062.54,0,Adult,Retained
100117,62,Female,India,9,58921.78,1,0,1,50928.03,0,Middle Age,Retained
100118,35,Male,Canada,10,227064.64,4,1,0,112149.83,0,Adult,Retained
100119,64,Female,UK,8,77370.39,2,1,0,168306.25,0,Middle Age,Retained
100120,70,Male,Australia,10,244103.31,3,0,1,71474,0,Senior,Retained
100121,41,Female,UK,2,70315.01,3,1,1,57969.17,0,Adult,Retained
100122,43,Male,Canada,4,238358.96,2,0,0,62997.71,0,Adult,Retained
100123,42,Female,UK,4,13386.16,1,1,0,190335.11,0,Adult,Retained
100124,77,Male,Australia,9,177318,1,0,0,78262.61,0,Senior,Retained
100125,77,Male,India,6,133027.78,4,0,0,10684.81,0,Senior,Retained
100126,77,Male,Australia,3,119469.27,4,1,1,158519.43,0,Senior,Retained
100127,62,Male,India,10,55873.58,3,0,0,142862.21,0,Middle Age,Retained
100128,58,Male,USA,3,176398.95,3,1,0,34427.97,0,Middle Age,Retained
100129,46,Male,Australia,6,47702.37,4,1,1,197131.81,0,Adult,Retained
100130,32,Female,Australia,8,138210.45,4,0,1,125531.83,0,Adult,Retained
100131,62,Male,Canada,10,63311.34,4,0,0,105148.1,0,Middle Age,Retained
100132,18,Female,UK,3,238905.34,2,0,1,82621.66,0,Young,Retained
100133,42,Female,India,3,7157.8,4,1,1,180747.82,0,Adult,Retained
100134,24,Female,India,5,49932.07,2,1,1,56353.06,0,Young,Retained
100135,26,Female,Canada,5,60577.65,2,0,0,64296.09,1,Young,Churned
100136,41,Female,Canada,6,103516.96,4,0,0,33258.05,0,Adult,Retained
100137,18,Male,UK,0,58182.56,1,0,0,154232.63,0,Young,Retained
100138,61,Male,UK,10,122837.27,1,0,1,123154.36,0,Middle Age,Retained
100139,25,Male,Australia,2,218116.38,3,0,0,125722.57,0,Young,Retained
100140,41,Female,USA,8,178015.86,4,0,0,51509.38,0,Adult,Retained
100141,28,Male,UK,5,144990.5,3,0,0,133721.99,0,Young,Retained
100142,68,Male,Canada,5,22250.79,4,1,1,155437.1,0,Senior,Retained
100143,34,Male,UK,4,173498.03,3,1,0,77998.82,0,Adult,Retained
100144,25,Male,India,10,41603.57,2,0,0,162255.96,0,Young,Retained
100145,52,Male,USA,2,196591.85,4,0,0,76270.21,0,Middle Age,Retained
100146,52,Female,Australia,10,62514.19,1,1,0,154046.31,0,Middle Age,Retained
100147,50,Male,India,4,104262.18,4,0,1,16408.72,0,Middle Age,Retained
100148,76,Female,India,0,87617.55,3,1,0,114721.27,0,Senior,Retained
100149,22,Female,USA,2,214703.48,3,1,0,194210.05,0,Young,Retained
100150,59,Female,Australia,3,31636.11,3,0,1,196436.47,0,Middle Age,Retained
100151,56,Female,Canada,4,141411.22,3,1,1,63532.99,0,Middle Age,Retained
100152,75,Female,Australia,9,35515.4,3,1,1,93865.83,0,Senior,Retained
100153,58,Male,UK,8,176198.96,3,0,1,21965.8,0,Middle Age,Retained
100154,45,Male,India,3,226269.53,1,0,1,175934.85,0,Adult,Retained
100155,24,Male,UK,2,108651.91,3,1,0,118028.71,0,Young,Retained
100156,26,Female,Canada,9,122023.07,1,0,1,83169.13,1,Young,Churned
100157,25,Male,UK,0,231855.71,4,1,1,31426.41,0,Young,Retained
100158,29,Male,Australia,9,130247.85,2,1,1,189885.78,0,Young,Retained
100159,51,Female,UK,5,121899.61,1,1,0,110741.62,0,Middle Age,Retained
100160,50,Female,Canada,6,144582.28,4,1,0,63756.31,0,Middle Age,Retained
100161,65,Female,Canada,9,172307.43,2,1,0,76540.87,0,Senior,Retained
100162,72,Female,Canada,7,26720.84,1,1,1,61432.46,0,Senior,Retained
100163,40,Male,Australia,0,205277.63,1,0,0,124343.86,0,Adult,Retained
100164,79,Female,Canada,3,108876.26,4,0,1,186693.08,0,Senior,Retained
100165,41,Female,India,10,18087.13,3,0,1,172771.82,1,Adult,Churned
100166,54,Male,Canada,4,196545.67,1,0,0,97472.37,0,Middle Age,Retained
100167,52,Male,UK,1,94237.49,1,1,0,167034.88,0,Middle Age,Retained
100168,61,Female,UK,0,25091.87,4,1,0,90390.04,0,Middle Age,Retained
100169,57,Male,UK,7,158444.76,3,1,1,57938.36,0,Middle Age,Retained
100170,39,Female,Australia,5,220032.84,2,1,0,196848.87,1,Adult,Churned
100171,44,Female,UK,4,221938.38,3,1,0,67738.64,0,Adult,Retained
100172,52,Male,Australia,8,239415.87,3,0,0,71507.6,1,Middle Age,Churned
100173,18,Male,Australia,10,216926.36,4,0,0,198041.64,0,Young,Retained
100174,52,Female,Canada,10,535.23,3,0,0,35446.22,0,Middle Age,Retained
100175,54,Female,India,1,95060.29,4,1,1,154501.46,0,Middle Age,Retained
100176,64,Female,Canada,9,204635.64,2,1,1,187804.42,0,Middle Age,Retained
100177,31,Male,Canada,7,91563.25,1,0,0,107241.05,0,Adult,Retained
100178,20,Female,Australia,10,150387.13,1,1,1,10479.13,0,Young,Retained
100179,18,Female,Australia,9,151579.24,4,1,1,81261.2,0,Young,Retained
100180,22,Female,UK,8,91256.33,4,0,1,31198.11,1,Young,Churned
100181,43,Female,UK,0,226118.48,3,1,0,89075.66,0,Adult,Retained
100182,72,Female,Canada,6,125807.09,3,0,1,160105.08,0,Senior,Retained
100183,31,Male,USA,7,116196.05,1,0,0,93355.19,0,Adult,Retained
100184,56,Female,USA,2,249378.44,1,0,1,92065.77,1,Middle Age,Churned
100185,44,Female,UK,3,123375.09,1,0,0,115790,0,Adult,Retained
100186,26,Female,USA,2,44599.56,4,1,1,120521.21,0,Young,Retained
100187,32,Female,UK,6,128267.36,2,1,1,172696.3,0,Adult,Retained
100188,32,Male,Australia,8,203504.18,2,1,0,68587.53,0,Adult,Retained
100189,43,Male,Canada,2,194215.08,4,0,0,166117.54,0,Adult,Retained
100190,59,Male,India,5,197145.44,3,1,1,117527.41,0,Middle Age,Retained
100191,77,Female,Canada,7,177005.95,2,0,0,67100.61,1,Senior,Churned
100192,30,Female,UK,5,63554.46,3,1,0,66073.95,0,Adult,Retained
100193,68,Male,UK,1,215521.02,1,1,0,78616.13,0,Senior,Retained
100194,49,Male,Canada,6,223360.87,1,0,0,128311.72,0,Adult,Retained
100195,56,Male,UK,1,48538.17,3,1,1,53854.23,0,Middle Age,Retained
100196,66,Female,USA,1,32613.91,1,0,0,184863.38,0,Senior,Retained
100197,69,Female,USA,1,243901.24,4,0,1,119233.39,1,Senior,Churned
100198,78,Male,UK,10,217080.99,3,1,1,184803,1,Senior,Churned
100199,49,Male,UK,0,223309.04,3,1,0,18816.83,1,Adult,Churned
100200,21,Male,USA,10,221594.1,3,1,0,75096.16,1,Young,Churned
100201,47,Female,UK,0,135421.71,2,1,0,14333.46,0,Adult,Retained
100202,54,Female,UK,6,161600.43,3,0,0,61727.84,0,Middle Age,Retained
100203,40,Female,Canada,4,136340.71,3,0,1,173781.23,0,Adult,Retained
100204,56,Male,India,10,12801.59,3,1,1,16955.85,0,Middle Age,Retained
100205,62,Male,USA,2,186375.77,2,1,0,92867.95,0,Middle Age,Retained
100206,32,Female,Canada,0,126333.01,1,1,1,32337.74,0,Adult,Retained
100207,60,Male,India,10,161927.27,2,0,0,89199.73,0,Middle Age,Retained
100208,46,Female,UK,9,125659.95,4,1,1,169381.8,0,Adult,Retained
100209,53,Male,UK,5,122952.83,3,0,1,128383.5,1,Middle Age,Churned
100210,30,Male,Canada,10,42947.28,4,1,1,149983.71,1,Adult,Churned
100211,49,Male,UK,0,69678.43,2,1,0,76329.78,0,Adult,Retained
100212,24,Male,Australia,8,39713.17,1,0,0,189435.56,0,Young,Retained
100213,76,Female,Canada,1,48916.57,1,0,1,144759.8,1,Senior,Churned
100214,68,Male,India,0,243244.35,3,1,0,90141.78,1,Senior,Churned
100215,39,Female,Canada,6,38278.36,1,0,0,91028.31,1,Adult,Churned
100216,45,Female,USA,5,67317.61,2,0,1,184549.99,1,Adult,Churned
100217,19,Female,Canada,5,147647.41,2,1,0,119516.89,1,Young,Churned
100218,59,Male,UK,4,152544.64,1,0,0,144212.05,0,Middle Age,Retained
100219,62,Female,UK,10,38493.53,3,0,1,89236.69,0,Middle Age,Retained
100220,79,Female,Australia,3,198429.36,3,1,1,52501.63,0,Senior,Retained
100221,74,Female,Australia,10,196300.72,2,1,1,147476.27,0,Senior,Retained
100222,70,Male,Australia,3,59329.43,1,0,1,125486.52,1,Senior,Churned
100223,23,Male,India,2,72166.58,2,1,0,105255.15,0,Young,Retained
100224,45,Female,Australia,9,234496.97,2,0,0,128563.98,0,Adult,Retained
100225,45,Male,India,7,206417.86,4,0,1,49574.26,0,Adult,Retained
100226,61,Female,Australia,6,174449.26,2,0,1,160848.35,0,Middle Age,Retained
100227,61,Female,India,8,20558.31,3,1,0,190150.93,0,Middle Age,Retained
100228,37,Male,Canada,0,104566.02,1,0,0,179309.6,1,Adult,Churned
100229,47,Female,Canada,6,139825.47,1,0,0,71072.79,0,Adult,Retained
100230,79,Male,UK,9,46852.82,4,0,1,87141.1,1,Senior,Churned
100231,28,Male,India,3,112056.65,4,1,1,163596.44,1,Young,Churned
100232,75,Female,USA,6,150256.47,3,1,1,123072.25,0,Senior,Retained
100233,72,Male,UK,0,81844.17,4,1,1,114103.74,0,Senior,Retained
100234,45,Male,Canada,4,195236.2,2,0,0,186061.97,0,Adult,Retained
100235,42,Female,India,2,210112.4,2,0,1,111844.74,0,Adult,Retained
100236,56,Female,Australia,4,80902.37,3,1,1,107838.35,0,Middle Age,Retained
100237,79,Male,USA,3,209664.29,1,0,0,17983.53,1,Senior,Churned
100238,50,Male,Canada,1,25894.14,3,0,1,23189.22,0,Middle Age,Retained
100239,18,Female,UK,10,209432.27,4,0,0,11409.86,0,Young,Retained
100240,74,Male,India,3,38187.61,1,0,1,183516.4,0,Senior,Retained
100241,44,Male,USA,2,20731.79,1,1,0,87593.47,0,Adult,Retained
100242,79,Male,India,0,160443.85,1,1,0,99026.66,0,Senior,Retained
100243,74,Male,Australia,9,117984.34,4,1,0,170623.52,0,Senior,Retained
100244,69,Male,UK,7,226972.65,2,0,1,125756.8,0,Senior,Retained
100245,30,Male,India,4,90797.3,2,0,1,125805.3,0,Adult,Retained
100246,58,Male,Canada,3,71788.07,4,1,1,66341.54,0,Middle Age,Retained
100247,20,Female,UK,9,125183.73,4,1,1,168442.59,0,Young,Retained
100248,56,Female,Canada,4,113986.55,3,1,1,41507.7,0,Middle Age,Retained
100249,23,Female,India,3,86107.01,3,0,1,20098.42,0,Young,Retained
100250,25,Female,UK,2,173435.32,2,1,0,46404.64,0,Young,Retained
100251,44,Female,Canada,4,189890.46,4,0,1,60870.07,0,Adult,Retained
100252,26,Male,Australia,3,213245.99,3,1,1,63639.1,0,Young,Retained
100253,79,Male,Australia,0,243214.15,4,0,0,137397.58,0,Senior,Retained
100254,54,Male,India,2,66664.05,4,0,0,51386.67,0,Middle Age,Retained
100255,50,Male,UK,9,179023.37,2,1,1,138565.08,1,Middle Age,Churned
100256,68,Female,USA,9,98564.56,2,0,0,27315.11,0,Senior,Retained
100257,59,Male,UK,7,169270.49,4,0,1,37968.47,0,Middle Age,Retained
100258,61,Male,Australia,6,118995.42,1,1,0,106676.08,0,Middle Age,Retained
100259,41,Female,Canada,1,248443.28,1,1,1,185160.2,0,Adult,Retained
100260,32,Male,USA,0,182225.53,4,1,0,173317.84,0,Adult,Retained
100261,76,Male,India,2,238122.83,2,0,0,194063.15,0,Senior,Retained
100262,71,Female,USA,4,208742.39,1,0,1,133591.02,0,Senior,Retained
100263,49,Male,India,9,225725.25,2,1,1,138404.82,0,Adult,Retained
100264,49,Male,USA,10,203604.8,1,1,0,128754.37,0,Adult,Retained
100265,41,Male,India,0,114789.78,4,0,0,128335.6,0,Adult,Retained
100266,58,Male,India,2,62947.11,3,1,0,37952.87,0,Middle Age,Retained
100267,69,Male,USA,2,92580.04,3,1,0,113310.4,0,Senior,Retained
100268,66,Female,USA,4,5059.06,2,0,1,83352.91,0,Senior,Retained
100269,79,Female,India,2,130998.29,2,0,0,94082.07,0,Senior,Retained
100270,66,Female,Australia,8,126264.45,1,1,0,109484.11,0,Senior,Retained
100271,75,Female,USA,0,131312.62,4,0,1,34395.27,0,Senior,Retained
100272,69,Female,UK,3,243507.81,1,0,1,78302.67,0,Senior,Retained
100273,29,Female,Canada,9,227863.5,4,1,1,22055.42,0,Young,Retained
100274,79,Male,India,9,40428.19,4,1,1,196136.94,0,Senior,Retained
100275,56,Female,India,3,92220.63,2,1,1,32520.33,0,Middle Age,Retained
100276,19,Female,Canada,0,105989.04,3,0,1,59119.7,0,Young,Retained
100277,20,Male,Australia,1,90133.23,3,1,0,179345.66,0,Young,Retained
100278,66,Male,Canada,10,199623.99,2,0,0,101714.91,0,Senior,Retained
100279,54,Female,USA,0,131009.42,3,1,0,35771.07,0,Middle Age,Retained
100280,66,Male,Canada,5,143024.95,2,0,1,83003.8,0,Senior,Retained
100281,73,Female,India,2,213253.39,1,0,1,32014.92,1,Senior,Churned
100282,34,Male,Canada,6,201482.04,4,1,0,48041.04,1,Adult,Churned
100283,76,Female,UK,4,33052.88,3,0,0,19885.67,0,Senior,Retained
100284,66,Male,USA,8,178478.65,3,1,1,93263.22,1,Senior,Churned
100285,19,Male,Canada,6,108859.03,1,1,1,163260.86,0,Young,Retained
100286,19,Female,India,3,73662.23,1,0,0,121334.14,0,Young,Retained
100287,45,Female,USA,4,12504.71,3,0,0,125205.61,1,Adult,Churned
100288,71,Female,India,4,121812.39,3,0,0,48110.97,0,Senior,Retained
100289,40,Female,Australia,10,88859.17,2,1,0,75339.83,0,Adult,Retained
100290,54,Female,UK,4,62878.26,2,1,0,170596,1,Middle Age,Churned
100291,49,Male,Australia,9,173667.93,3,1,1,26692.68,0,Adult,Retained
100292,50,Female,UK,8,192371.35,2,1,0,173006.82,0,Middle Age,Retained
100293,18,Female,Canada,9,61197.38,1,1,0,101901.1,0,Young,Retained
100294,36,Male,USA,2,12361.86,4,1,1,169058.01,1,Adult,Churned
100295,79,Male,Canada,5,212188.18,2,0,0,70421.22,1,Senior,Churned
100296,19,Female,UK,7,2489.94,4,1,1,74380.16,0,Young,Retained
100297,70,Male,UK,10,234278.12,2,1,1,152804.92,1,Senior,Churned
100298,61,Male,UK,8,156904.97,3,1,0,159149.27,0,Middle Age,Retained
100299,43,Female,India,6,80461.66,2,1,0,53632.49,1,Adult,Churned
100300,49,Male,USA,2,61619.48,4,0,1,194845.55,0,Adult,Retained
100301,23,Male,Canada,0,2251.42,4,0,1,26053.12,0,Young,Retained
100302,49,Female,Canada,3,58867.85,3,0,1,23015.56,0,Adult,Retained
100303,72,Female,Australia,5,34432.08,4,1,0,123145.8,0,Senior,Retained
100304,21,Male,UK,2,153041.56,3,1,0,147320.75,0,Young,Retained
100305,72,Male,UK,0,41636.4,3,1,0,192568.36,0,Senior,Retained
100306,28,Female,UK,5,132157.46,4,0,0,86939.7,0,Young,Retained
100307,73,Male,Canada,0,147529.11,1,1,0,14805.37,1,Senior,Churned
100308,76,Male,Australia,8,74510.42,4,1,1,124550.3,0,Senior,Retained
100309,34,Male,India,10,8766.24,4,0,0,65042.24,0,Adult,Retained
100310,55,Female,USA,0,9313.47,2,0,0,92259.95,0,Middle Age,Retained
100311,41,Male,India,5,6586.83,4,1,1,102809.2,1,Adult,Churned
100312,22,Male,Canada,0,184781.17,2,0,0,22257.4,0,Young,Retained
100313,69,Female,UK,6,79502.43,2,1,0,102336.54,1,Senior,Churned
100314,51,Male,USA,2,199075.05,4,1,0,91000.74,1,Middle Age,Churned
100315,23,Male,Canada,5,107933.21,3,0,1,145383.41,0,Young,Retained
100316,39,Female,Canada,6,113249.53,1,1,1,132676.52,0,Adult,Retained
100317,28,Female,Canada,0,128220.65,4,0,0,45190.99,1,Young,Churned
100318,65,Female,USA,0,178257.86,4,0,0,49166.39,1,Senior,Churned
100319,33,Female,USA,4,68375.72,3,1,0,57691.17,0,Adult,Retained
100320,50,Male,Australia,5,30396.84,2,0,1,44000.58,0,Middle Age,Retained
100321,26,Male,Australia,8,139014.33,3,1,1,134870.51,0,Young,Retained
100322,77,Female,India,0,81744.41,3,1,0,198941.73,0,Senior,Retained
100323,76,Female,USA,3,110622.83,2,0,0,133900.58,0,Senior,Retained
100324,23,Male,USA,9,161736.68,4,0,0,125269.49,0,Young,Retained
100325,33,Female,USA,7,123531.44,3,0,0,87886.31,0,Adult,Retained
100326,46,Male,Australia,9,155069.7,3,1,1,69390.25,0,Adult,Retained
100327,20,Female,Canada,8,136050,4,1,1,183104.01,1,Young,Churned
100328,37,Male,UK,2,184949.09,4,1,0,194110.36,1,Adult,Churned
100329,77,Female,Australia,10,176484.15,1,1,1,104387.47,1,Senior,Churned
100330,76,Female,USA,1,133547.47,3,1,1,65138.09,1,Senior,Churned
100331,53,Male,Australia,3,169725.76,1,1,0,156323.22,0,Middle Age,Retained
100332,36,Female,India,1,218389.9,2,1,0,35166.79,1,Adult,Churned
100333,43,Male,USA,0,108067.82,4,0,0,155461.77,1,Adult,Churned
100334,20,Male,India,2,103190.77,4,1,0,165600.19,1,Young,Churned
100335,36,Male,USA,6,191061.41,1,1,1,33731.75,0,Adult,Retained
100336,37,Male,Australia,0,145638.46,3,0,0,195603.68,0,Adult,Retained
100337,49,Male,Canada,1,17751.7,2,1,0,197247.34,0,Adult,Retained
100338,24,Female,UK,0,223028,3,1,0,187976.7,0,Young,Retained
100339,69,Female,India,7,7695.78,3,0,0,104246.61,1,Senior,Churned
100340,58,Male,Australia,4,187099.09,1,1,1,56754.09,0,Middle Age,Retained
100341,50,Female,Canada,7,189698.54,3,0,0,120581.76,1,Middle Age,Churned
100342,57,Male,Australia,2,238277.77,1,1,0,89787.43,0,Middle Age,Retained
100343,56,Female,India,6,13533.6,4,1,1,49130.24,0,Middle Age,Retained
100344,35,Female,UK,7,149214.22,4,0,0,90498.52,0,Adult,Retained
100345,57,Female,Australia,5,106960.14,4,0,0,136139.07,0,Middle Age,Retained
100346,18,Female,USA,6,82658.24,2,1,0,23473.53,0,Young,Retained
100347,28,Male,Canada,1,22579.64,2,1,1,73349.42,0,Young,Retained
100348,45,Male,Australia,7,140663.53,3,0,0,13381.03,0,Adult,Retained
100349,74,Female,Canada,4,119760.18,1,1,0,152404.15,0,Senior,Retained
100350,42,Female,USA,6,26138.61,3,0,0,131731.34,0,Adult,Retained
100351,67,Male,UK,0,153122.38,4,0,1,21907.71,1,Senior,Churned
